Country,Store,Category,AvgRental,Product 1 quantity (kg),Product 1 price,Product 2 quantity (kg),Product 2 price,Product 3 quantity (kg),Product 3 price,Product 1 quantity (kg),Product 1 price,Product 2 quantity (kg),Product 2 price,Product 3 quantity (kg),Product 3 price,Product 1 quantity (kg),Product 1 price,Product 2 quantity (kg),Product 2 price,Product 3 quantity (kg),Product 3 price,Product 1 quantity (kg),Product 1 price,Product 2 quantity (kg),Product 2 price,Product 3 quantity (kg),Product 3 price,Product 1 quantity (kg),Product 1 price,Product 2 quantity (kg),Product 2 price,Product 3 quantity (kg),Product 3 price,Product 1 quantity (kg),Product 1 price,Product 2 quantity (kg),Product 2 price,Product 3 quantity (kg),Product 3 price,Product 1 quantity (liters),Product 1 price,Product 2 quantity (liters),Product 2 price,Product 3 quantity (liters),Product 3 price,Product 1 quantity (kg),Product 1 price,Product 2 quantity (kg),Product 2 price,Product 3 quantity (kg),Product 3 price,Product 1 quantity (count),Product 1 price,Product 2 quantity (count),Product 2 price,Product 3 quantity (count),Product 3 price,Product 1 quantity (kg),Product 1 price,Product 2 quantity (kg),Product 2 price,Product 3 quantity (kg),Product 3 price
Morocco,Carrefour,Luxury (expensive),15000,1,15.95,1,18.95,1,28.95,1,14.95,1,17.95,1,15.9,1,5.5,1,12.5,1,32.95,1,7.5,1,9.95,1,7.95,5,26.95,10,36.95,10,49.95,0.5,28.15,1,67.9,1,80.75,1,7.5,1,6.4,1,9.25,1,69.95,0.2,35.5,1,100,6,10.95,6,9.95,6,9.95,1,31.9,1,34.9,1,35
Morocco,Epicerie,Budget (cheap),6000,1,30,1,14,1,20,1,10,1,10,1,10,1,7,1,7,1,7,1,7,1,7,1,7,1,6,1,6,1,6,1,48,1,40,1,45,0.5,9,0.5,9,0.5,10,0.5,14,0.5,10,0.5,7,1,1,1,1,1,1,1,60,1,60,1,60
USA,TraderJoe,Mid-range,370,0.9,3.29,0.9,2.99,0.9,2.99,0.12,0.25,0.12,0.19,,,0.45,3.49,0.45,2.99,0.57,2.29,0.68,1.79,0.68,2.49,1.36,3.99,2.27,2.99,0.45,3.99,,,0.9,2.99,0.9,4.49,0.9,4.49,3.79,5.69,1.89,4.99,0.95,5.99,0.45,2.99,0.45,2.99,0.45,3.99,12,2.19,12,2.69,12,4.29,0.62,9.51,0.69,9.1,1.06,10.97
USA,Vons,Mid-range,1107,0.45,1.99,0.45,1.69,4.99,1.36,0.45,0.69,0.45,0.89,0.45,1.99,0.45,2.99,0.45,1.69,0.45,1.99,0.45,0.99,2.27,3.99,4.54,3.99,2.27,5.49,0.91,1.49,0.9,1.99,0.9,5.99,0.9,3.99,2.27,11.99,3.785,3.99,3.785,6.99,1.89,2.49,0.45,3.99,0.45,3.99,0.227,3.99,18,3.99,12,2.99,12,3.29,1.36,13.47,0.91,7.98,1.59,10.47
USA,Albertsons,Budget (cheap),1107,1.36,5,0.45,1.89,1.36,5,0.45,0.49,0.45,0.69,0.45,1.99,0.45,2.29,0.45,1.29,0.45,1.29,0.45,0.79,0.91,1.99,4.54,3.49,2.27,4.99,2.27,4.99,1.81,8.29,0.9,3.49,0.9,4.99,0.9,4.99,3.79,2.69,3.79,2.59,1.89,1.49,0.45,3.29,0.45,3.29,0.43,2.99,18,1.59,12,1.09,12,1.29,0.9,7.98,1.13,5.99,0.68,7.49
USA,Target,Mid-range,1600,1.36,4.69,1.36,6.29,1.36,3.89,0.2,0.29,1,1.79,,,0.45,1.29,0.45,3.19,0.45,2.99,2.26,3.19,1.36,3.79,0.45,3.99,0.9,2.49,2.27,1.49,,,0.24,1.99,0.24,1.49,0.24,1.49,3.79,3.99,3.79,3.49,3.79,7.99,0.45,6.49,0.45,5.19,0.23,5.79,12,2.99,12,3.99,12,3.19,0.45,3.99,0.45,5.99,0.5,8.99
Vietnam,NamAn,Luxury (expensive),1000,0.5,49950,0.5,84500,0.5,122950,0.5,25750,1,45900,1,37500,0.5,29750,0.5,47950,0.5,64450,0.5,31450,0.5,32450,0.5,37450,1,85000,1,36900,1,119000,2,87000,5,99900,1,86900,1,58000,1,54500,1,49600,0.25,72900,0.125,89000,0.2,92000,10,39900,10,56900,10,60000,0.5,41950,0.5,49000,0.5,172725
Vietnam,BigC,Mid-range,1000,0.5,19950,1,49900,1,86900,1,33800,1,41900,1,30800,0.5,12450,0.3,24900,0.25,31900,0.5,18950,1,37900,0.5,18750,,,,,,,5,159000,5,132900,5,119500,1,54300,,,,,0.2,73000,0.1,72000,0.1,25600,6,15600,10,21600,10,27000,0.25,19000,,,,
Vietnam,Chung,Mid-range,500,3,6.86,1,4.27,0.5,2.16,1,1.73,1,0.84,1,1.04,1,0.99,1,1.12,1,0.95,0.5,0.99,0.5,1.08,0.5,1.42,1,4.66,1,5.18,1,6.26,1,2.59,5,11.87,10,15.11,4.8,10.64,4.8,9.88,6,7.64,0.8,1.47,0.8,2.24,0.125,2.59,10,1.68,12,1.34,6,0.67,0.5,2.24,0.5,1.9,0.5,2.33
USA,WholeFoods,Luxury (expensive),2600,0.4536,2.49,0.4536,1.99,0.4536,2.99,0.4536,1.99,0.4536,0.99,0.4536,1.98,0.4536,4.99,0.4536,3.99,0.4536,2.99,0.4536,1.99,0.4536,1.49,0.4536,1.29,2.27,3.29,0.9072,2.69,2.27,5.49,0.9072,6.49,0.9072,3.55,0.9072,8.29,0.9466,2.49,1.892,4.29,1.892,3.49,0.4536,8.49,0.2268,4.99,0.368,5.49,6,2.39,18,7.99,12,3.99,0.4536,7.99,0.4536,4.99,0.4536,6.99
Guatemala,Walmart,Mid-range,2333,0.9,16.75,0.9,29.9,0.45,10,1.36078,10,0.226796,2.8,,,0.226796,4.5,1.36078,10,0.453592,7.25,0.453592,5.9,0.453592,13,0.453592,6,0.907,14.5,2.268,31.5,0.907,14.5,0.4,4.4,2270,30.9,400,4.4,1,12,0.946,31,1,13.7,0.115,11.5,115,10.8,100,12.45,30,33.9,12,13,30,40,0.454,24.2,2.26796,24.9,0.453592,25.75
